Lon Lat Tbuf Tinterm Tbottom Csubmoho Al_L Fe_L Mg_L Ca_L #Mg_L LAB Al_SL Fe_SL Mg_SL Ca_SL #Mg_SL
deg deg degC degC degC 1 wt% wt% wt% wt% 1 km wt% wt% wt% wt% 1
0 0 21 21 21 0 21 1 1 1 1 21 21 1 1 1 1
-9.00 -7.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-8.00 -7.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-7.00 -7.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-6.00 -7.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-5.00 -7.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-4.00 -7.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-3.00 -7.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-2.00 -7.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-1.00 -7.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
0.00 -7.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
1.00 -7.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
2.00 -7.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
3.00 -7.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-10.00 -6.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-9.00 -6.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-8.00 -6.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-7.00 -6.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-6.00 -6.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-5.00 -6.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-4.00 -6.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-3.00 -6.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-2.00 -6.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-1.00 -6.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
0.00 -6.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
1.00 -6.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
2.00 -6.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
3.00 -6.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-10.00 -5.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-9.00 -5.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-8.00 -5.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-7.00 -5.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-6.00 -5.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-5.00 -5.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-4.00 -5.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-3.00 -5.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-2.00 -5.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-1.00 -5.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
0.00 -5.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
1.00 -5.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
2.00 -5.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
3.00 -5.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-10.00 -4.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-9.00 -4.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-8.00 -4.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-7.00 -4.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-6.00 -4.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-5.00 -4.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-4.00 -4.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-3.00 -4.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-2.00 -4.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-1.00 -4.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
0.00 -4.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
1.00 -4.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
2.00 -4.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
3.00 -4.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-10.00 -3.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-9.00 -3.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-8.00 -3.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-7.00 -3.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-6.00 -3.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-5.00 -3.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-4.00 -3.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-3.00 -3.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-2.00 -3.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-1.00 -3.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
0.00 -3.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
1.00 -3.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
2.00 -3.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
3.00 -3.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-10.00 -2.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-9.00 -2.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-8.00 -2.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-7.00 -2.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-6.00 -2.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-5.00 -2.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-4.00 -2.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-3.00 -2.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-2.00 -2.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-1.00 -2.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
0.00 -2.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
1.00 -2.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
2.00 -2.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
3.00 -2.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-10.00 -1.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-9.00 -1.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-8.00 -1.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-7.00 -1.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-6.00 -1.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-5.00 -1.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-4.00 -1.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-3.00 -1.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-2.00 -1.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-1.00 -1.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
0.00 -1.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
1.00 -1.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
2.00 -1.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
3.00 -1.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
