      Lon      Lat     thick1     Vp/Vs1      Dens1     thick2     Vp/Vs2      Dens2     thick3     Vp/Vs3      Dens3
      deg      deg          m          1      kg/m3          m          1      kg/m3          m          1      kg/m3
        0        0         21         21         21         21         21         21         21         21         21
    -1.00    -6.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
     0.00    -6.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
     1.00    -6.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
     2.00    -6.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
     3.00    -6.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
   -10.00    -5.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
    -9.00    -5.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
    -8.00    -5.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
    -7.00    -5.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
    -6.00    -5.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
    -5.00    -5.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
    -4.00    -5.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
    -3.00    -5.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
    -2.00    -5.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
    -1.00    -5.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
     0.00    -5.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
     1.00    -5.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
     2.00    -5.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
     3.00    -5.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
   -10.00    -4.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
    -9.00    -4.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
    -8.00    -4.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
    -7.00    -4.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
    -6.00    -4.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
    -5.00    -4.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
    -4.00    -4.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
    -3.00    -4.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
    -2.00    -4.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
    -1.00    -4.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
     0.00    -4.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
     1.00    -4.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
     2.00    -4.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
     3.00    -4.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
   -10.00    -3.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
    -9.00    -3.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
    -8.00    -3.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
    -7.00    -3.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
    -6.00    -3.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
    -5.00    -3.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
    -4.00    -3.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
    -3.00    -3.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
    -2.00    -3.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
    -1.00    -3.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
     0.00    -3.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
     1.00    -3.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
     2.00    -3.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
     3.00    -3.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
   -10.00    -2.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
    -9.00    -2.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
    -8.00    -2.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
    -7.00    -2.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
    -6.00    -2.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
    -5.00    -2.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
    -4.00    -2.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
    -3.00    -2.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
    -2.00    -2.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
    -1.00    -2.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
     0.00    -2.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
     1.00    -2.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
     2.00    -2.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
     3.00    -2.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
   -10.00    -1.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
    -9.00    -1.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
    -8.00    -1.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
    -7.00    -1.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
    -6.00    -1.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
    -5.00    -1.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
    -4.00    -1.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
    -3.00    -1.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
    -2.00    -1.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
    -1.00    -1.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
     0.00    -1.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
     1.00    -1.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
     2.00    -1.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
     3.00    -1.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
