      Lon     Lat Rayleigh Uncert m/s
                     8.00    8.00   10.00   10.00   12.00   12.00   14.00   14.00   16.00   16.00   18.00   18.00   20.00   20.00   22.00   22.00   24.00   24.00   28.00   28.00   32.00   32.00   36.00   36.00   40.00   40.00   50.00   50.00   60.00   60.00   70.00   70.00   80.00   80.00  100.00  100.00  125.00  125.00  150.00  150.00
     3.00  -10.00 3150.50   10.00 3212.10   10.00 3273.00   10.00 3327.60   10.00 3377.90   10.00 3423.00   10.00 3476.50   10.00 3527.10   10.00 3577.20   10.00 3674.90   20.10 3771.00   15.50 3852.90   15.20 3922.10   11.80 4000.60   18.80 4030.60   18.40 4054.80   30.20 4087.40   34.60 4110.80   44.00 4204.20   53.90 4291.10   68.30
   -10.00   -9.00 3125.00   10.00 3195.60   10.00 3275.80   10.00 3350.80   10.00 3418.70   10.00 3475.40   10.00 3529.20   10.00 3576.40   10.00 3609.90   10.00 3663.90   14.90 3695.40   10.00 3721.40   10.30 3738.60   10.80 3770.80   10.60 3801.60   11.60 3847.30   20.60 3881.30   22.60 3963.30   40.40 4074.30   52.40 4242.10   66.70
    -9.00   -9.00 3031.90   10.00 3106.20   10.00 3187.40   10.00 3265.60   10.00 3343.80   10.00 3409.30   10.00 3470.60   10.00 3525.20   10.00 3571.70   10.00 3645.80   20.30 3716.10   12.90 3739.30   12.30 3769.30   11.80 3828.40   16.60 3859.80   15.40 3909.90   23.00 3943.30   25.00 4040.30   36.80 4104.10   49.60 4252.50   64.70
    -8.00   -9.00 2955.70   10.00 3053.10   10.00 3117.80   10.00 3185.20   10.00 3250.90   10.00 3330.10   10.00 3400.30   10.00 3474.50   10.00 3544.20   10.00 3657.20   18.00 3729.00   13.10 3779.40   12.00 3817.90   13.60 3892.90   12.60 3916.80   17.00 3962.80   21.30 4000.50   23.60 4035.20   34.70 4125.10   46.80 4251.90   62.40
    -7.00   -9.00 2878.60   10.00 3031.20   10.00 3126.30   10.00 3203.80   10.00 3272.30   10.00 3332.50   10.00 3405.60   10.00 3475.80   10.00 3536.40   10.00 3668.10   16.20 3764.90   12.10 3839.50   12.20 3907.80   12.80 3967.10   17.20 4027.70   20.00 4015.50   22.40 4034.90   24.40 4060.00   33.30 4142.60   46.60 4278.00   61.80
    -6.00   -9.00 2883.50   23.20 3015.80   10.00 3097.10   10.00 3173.60   10.00 3245.30   10.00 3315.60   10.00 3388.00   10.00 3462.10   10.00 3528.50   10.00 3653.30   18.60 3725.90   16.10 3790.60   15.70 3861.10   13.40 3980.10   16.40 4064.30   18.80 4056.00   21.60 4109.80   25.30 4080.80   32.70 4177.70   45.70 4309.10   61.60
    -5.00   -9.00 2838.80   27.20 3005.50   12.80 3090.40   10.00 3144.00   10.00 3208.70   10.00 3266.10   10.00 3327.90   10.00 3386.80   10.00 3444.50   10.00 3569.00   12.40 3672.20   12.30 3772.10   12.20 3847.40   10.80 3961.90   12.20 4013.40   16.40 4011.50   19.70 4056.80   22.20 4083.00   32.80 4199.00   46.20 4271.30   62.30
    -4.00   -9.00 2865.80   33.40 3000.20   13.40 3090.20   10.00 3155.60   10.00 3218.30   10.00 3275.70   10.00 3335.80   10.00 3399.60   10.00 3463.50   10.00 3574.10   12.30 3689.60   10.90 3788.30   11.30 3865.70   14.80 3947.20   14.00 3987.00   15.60 3994.40   20.70 4039.90   25.50 4066.70   32.60 4164.30   45.90 4242.50   61.40
    -3.00   -9.00 3102.90   23.00 3179.20   13.80 3234.30   11.40 3271.60   10.00 3303.10   10.00 3340.60   10.00 3386.40   10.00 3433.40   10.00 3480.50   10.00 3579.80   12.70 3684.40   12.80 3754.00   12.30 3809.50   14.20 3900.80   15.20 3952.00   17.80 3958.30   21.70 4007.60   24.40 4041.10   32.60 4136.00   45.10 4282.90   60.70
    -2.00   -9.00 3188.30   15.60 3250.40   10.80 3288.10   10.40 3324.40   10.00 3369.10   10.00 3409.80   10.00 3449.60   10.00 3495.60   10.00 3540.30   10.00 3636.20   12.60 3723.70   10.50 3785.90   10.70 3848.30   10.80 3910.10   12.20 3956.70   12.20 3984.00   18.60 3998.50   22.70 4059.90   32.40 4134.50   45.20 4297.50   61.00
