Lon Lat Tbuf Tinterm Tbottom 1 Al_L Fe_L Mg_L Ca_L #Mg_L LAB Al_SL Fe_SL Mg_SL Ca_SL #Mg_SL
deg deg degC degC degC 1 wt% wt% wt% wt% 1 km wt% wt% wt% wt% 1
-9.00 -7.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.010 300.00 4.400 9.200 55.000 5.500 93.010
-8.00 -7.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.718 300.00 4.400 9.200 55.000 5.500 93.718
-7.00 -7.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 94.286 300.00 4.400 9.200 55.000 5.500 94.286
-6.00 -7.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.996 300.00 4.400 9.200 55.000 5.500 93.996
-5.00 -7.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.240 300.00 4.400 9.200 55.000 5.500 93.240
-4.00 -7.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 94.625 300.00 4.400 9.200 55.000 5.500 94.625
-3.00 -7.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 94.665 300.00 4.400 9.200 55.000 5.500 94.665
-2.00 -7.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 94.189 300.00 4.400 9.200 55.000 5.500 94.189
-1.00 -7.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 94.025 300.00 4.400 9.200 55.000 5.500 94.025
0.00 -7.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.168 300.00 4.400 9.200 55.000 5.500 93.168
1.00 -7.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.648 300.00 4.400 9.200 55.000 5.500 93.648
2.00 -7.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.954 300.00 4.400 9.200 55.000 5.500 93.954
3.00 -7.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.455 300.00 4.400 9.200 55.000 5.500 93.455
-10.00 -6.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.376 300.00 4.400 9.200 55.000 5.500 93.376
-9.00 -6.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.009 300.00 4.400 9.200 55.000 5.500 93.009
-8.00 -6.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.621 300.00 4.400 9.200 55.000 5.500 93.621
-7.00 -6.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 94.212 300.00 4.400 9.200 55.000 5.500 94.212
-6.00 -6.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 94.187 300.00 4.400 9.200 55.000 5.500 94.187
-5.00 -6.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.368 300.00 4.400 9.200 55.000 5.500 93.368
-4.00 -6.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 94.612 300.00 4.400 9.200 55.000 5.500 94.612
-3.00 -6.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 95.424 300.00 4.400 9.200 55.000 5.500 95.424
-2.00 -6.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 94.980 300.00 4.400 9.200 55.000 5.500 94.980
-1.00 -6.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 94.739 300.00 4.400 9.200 55.000 5.500 94.739
0.00 -6.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.798 300.00 4.400 9.200 55.000 5.500 93.798
1.00 -6.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.728 300.00 4.400 9.200 55.000 5.500 93.728
2.00 -6.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 94.081 300.00 4.400 9.200 55.000 5.500 94.081
3.00 -6.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.481 300.00 4.400 9.200 55.000 5.500 93.481
-10.00 -5.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.994 300.00 4.400 9.200 55.000 5.500 93.994
-9.00 -5.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 94.514 300.00 4.400 9.200 55.000 5.500 94.514
-8.00 -5.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 95.252 300.00 4.400 9.200 55.000 5.500 95.252
-7.00 -5.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 94.965 300.00 4.400 9.200 55.000 5.500 94.965
-6.00 -5.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 94.209 300.00 4.400 9.200 55.000 5.500 94.209
-5.00 -5.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.553 300.00 4.400 9.200 55.000 5.500 93.553
-4.00 -5.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 94.666 300.00 4.400 9.200 55.000 5.500 94.666
-3.00 -5.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 94.195 300.00 4.400 9.200 55.000 5.500 94.195
-2.00 -5.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 94.380 300.00 4.400 9.200 55.000 5.500 94.380
