      Lon      Lat     thick1        Vs1        Vp1      Dens1       RHP1     thick2        Vs2        Vp2      Dens2       RHP2     thick3        Vs3        Vp3      Dens3       RHP3
      deg      deg          m        m/s        m/s      kg/m3      uW/m3          m        m/s        m/s      kg/m3      uW/m3          m        m/s        m/s      kg/m3      uW/m3
    -2.00    -8.00    1533.00    1835.00    3367.00    2273.00       1.00   26643.00    3652.00    6293.00    2818.00       1.00   22621.52    3694.00    6789.00    2946.00       0.50
    -1.00    -8.00    3308.00    1898.00    3154.00    2234.00       1.00   25818.00    3721.00    6305.00    2819.00       1.00   18480.58    3855.00    7320.00    3117.00       0.50
     0.00    -8.00    2521.00    1526.00    2890.00    2185.00       1.00   25002.00    3664.00    6269.00    2808.00       1.00   24115.38    4011.00    7342.00    3120.00       0.50
     1.00    -8.00    2128.00    1430.00    2606.00    2128.00       1.00   21114.00    3693.00    6308.00    2817.00       1.00   21276.15    3802.00    7173.00    3058.00       0.50
     2.00    -8.00    1571.00    1502.00    2688.00    2145.00       1.00   19144.00    3587.00    6297.00    2814.00       1.00   24458.71    3827.00    7211.00    3069.00       0.50
     3.00    -8.00    1336.00    1337.00    2730.00    2153.00       1.00   23223.00    3671.00    6118.00    2774.00       1.00   22345.86    3891.00    7086.00    3024.00       0.50
   -10.00    -7.00     308.00    1173.00    2495.00    2104.00       1.00   10557.00    3373.00    5580.00    2715.00       1.00   19970.82    3608.00    5989.00    2763.00       0.50
    -9.00    -7.00     576.00    1942.00    3216.00    2245.00       1.00    9670.00    3177.00    5699.00    2765.00       1.00   22655.71    3568.00    5900.00    2745.00       0.50
    -8.00    -7.00    1120.00    1385.00    2842.00    2176.00       1.00   15616.00    3448.00    5718.00    2699.00       1.00   21669.62    3644.00    6089.00    2790.00       0.50
    -7.00    -7.00    4140.00    2031.00    3858.00    2356.00       1.00   23136.00    3770.00    6269.00    2811.00       1.00   20751.43    3854.00    7101.00    3039.00       0.50
    -6.00    -7.00    3443.00    1728.00    3764.00    2343.00       1.00   15731.00    3738.00    6246.00    2800.00       1.00   30887.07    3838.00    7129.00    3040.00       0.50
    -5.00    -7.00    3003.00    1600.00    3033.00    2211.00       1.00   16773.00    3816.00    6309.00    2819.00       1.00   31299.16    3850.00    6383.00    2836.00       0.50
    -4.00    -7.00     615.00    1823.00    3749.00    2340.00       1.00   18529.00    3311.00    5890.00    2800.00       1.00   29355.76    3585.00    6777.00    2948.00       0.50
    -3.00    -7.00     199.00    2601.00    4539.00    2476.00       1.00   24333.00    3384.00    6065.00    2783.00       1.00   23636.34    3527.00    6558.00    2891.00       0.50
    -2.00    -7.00     982.00    1671.00    2966.00    2199.00       1.00   26829.00    3528.00    6303.00    2819.00       1.00   21354.22    3574.00    6595.00    2893.00       0.50
    -1.00    -7.00    3366.00    1632.00    3179.00    2239.00       1.00   18764.00    3584.00    6247.00    2804.00       1.00   26757.05    3810.00    7134.00    3048.00       0.50
     0.00    -7.00    2904.00    1709.00    2957.00    2198.00       1.00   24922.00    3708.00    6296.00    2816.00       1.00   20221.33    3946.00    7191.00    3067.00       0.50
     1.00    -7.00    1766.00    1233.00    2632.00    2134.00       1.00   26085.00    3701.00    6180.00    2789.00       1.00   17333.94    3873.00    7093.00    3032.00       0.50
     2.00    -7.00    1406.00    1692.00    2969.00    2200.00       1.00   20360.00    3568.00    6242.00    2801.00       1.00   22586.27    3815.00    7118.00    3037.00       0.50
     3.00    -7.00    1214.00    1866.00    3897.00    2366.00       1.00   17966.00    3504.00    6335.00    2820.00       1.00   26092.06    3832.00    6934.00    2974.00       0.50
   -10.00    -6.00     759.00    2528.00    4400.00    2452.00       1.00   17768.00    3407.00    5643.00    2736.00       1.00   16264.39    3625.00    6497.00    2879.00       0.50
    -9.00    -6.00     685.00    1948.00    4156.00    2411.00       1.00   13819.00    3264.00    5451.00    2647.00       1.00   24335.46    3514.00    6644.00    2920.00       0.50
    -8.00    -6.00    1094.00    1235.00    2558.00    2118.00       1.00   15843.00    3499.00    5888.00    2731.00       1.00   26384.42    3632.00    6583.00    2901.00       0.50
    -7.00    -6.00    2067.00    2315.00    4459.00    2463.00       1.00   15787.00    3655.00    6246.00    2801.00       1.00   29938.54    3817.00    6514.00    2867.00       0.50
    -6.00    -6.00    2311.00    2161.00    3862.00    2360.00       1.00   20109.00    3697.00    6106.00    2774.00       1.00   25875.91    3821.00    7061.00    3024.00       0.50
    -5.00    -6.00    1179.00    1727.00    2996.00    2205.00       1.00   26305.00    3657.00    6114.00    2777.00       1.00   22855.11    3853.00    6692.00    2917.00       0.50
    -4.00    -6.00     434.00    1846.00    4007.00    2385.00       1.00   27628.00    3496.00    5904.00    2782.00       1.00   18277.43    3576.00    6769.00    2958.00       0.50
    -3.00    -6.00     300.00    1580.00    2911.00    2188.00       1.00   22745.00    3385.00    5974.00    2794.00       1.00   22515.23    3488.00    6626.00    2911.00       0.50
    -2.00    -6.00     358.00    2686.00    5564.00    2660.00       1.00   29311.00    3440.00    6196.00    2811.00       1.00   17843.45    3625.00    6780.00    2953.00       0.50
    -1.00    -6.00    1019.00    2024.00    4154.00    2410.00       1.00   18057.00    3456.00    5786.00    2807.00       1.00   33235.80    3734.00    6964.00    2990.00       0.50
     0.00    -6.00    2353.00    1574.00    3262.00    2254.00       1.00   27824.00    3748.00    6221.00    2801.00       1.00   17948.93    3936.00    7321.00    3121.00       0.50
     1.00    -6.00    2064.00    1654.00    3152.00    2234.00       1.00   25188.00    3736.00    6303.00    2818.00       1.00   18941.43    3929.00    7265.00    3096.00       0.50
     2.00    -6.00    1409.00    1596.00    3294.00    2260.00       1.00   23843.00    3610.00    6302.00    2815.00       1.00   21994.12    3969.00    7232.00    3078.00       0.50
     3.00    -6.00    1546.00    1834.00    3308.00    2263.00       1.00   22289.00    3599.00    6251.00    2801.00       1.00   23481.06    3927.00    7198.00    3061.00       0.50
   -10.00    -5.00     313.00    1838.00    3107.00    2225.00       1.00   15442.00    3338.00    5570.00    2705.00       1.00   23428.27    3625.00    6668.00    2922.00       0.50
    -9.00    -5.00     577.00    1283.00    2513.00    2109.00       1.00   14232.00    3358.00    5560.00    2667.00       1.00   26894.52    3635.00    6685.00    2927.00       0.50
    -8.00    -5.00     549.00    1921.00    3401.00    2279.00       1.00   14722.00    3398.00    5736.00    2764.00       1.00   24859.91    3692.00    6741.00    2936.00       0.50
    -7.00    -5.00    1582.00    2152.00    3594.00    2313.00       1.00   16945.00    3657.00    6300.00    2816.00       1.00   24815.52    3749.00    6768.00    2944.00       0.50
    -6.00    -5.00    2058.00    2416.00    5245.00    2601.00       1.00   14841.00    3590.00    6155.00    2782.00       1.00   28496.65    3789.00    6461.00    2857.00       0.50
    -5.00    -5.00    2372.00    2642.00    4601.00    2486.00       1.00   17173.00    3526.00    5940.00    2741.00       1.00   27922.09    3729.00    6302.00    2824.00       0.50
    -4.00    -5.00     614.00    1970.00    4224.00    2422.00       1.00   25286.00    3429.00    5904.00    2790.00       1.00   22116.35    3648.00    6852.00    2971.00       0.50
    -3.00    -5.00     759.00    1668.00    2991.00    2204.00       1.00   24743.00    3455.00    5701.00    2812.00       1.00   19643.08    3618.00    6467.00    2875.00       0.50
