Lon Lat Tbuf Tinterm Tbottom 0.92 Al_L Fe_L Mg_L Ca_L #Mg_L LAB Al_SL Fe_SL Mg_SL Ca_SL #Mg_SL
deg deg degC degC degC 0.92 wt% wt% wt% wt% 1 km wt% wt% wt% wt% 1
-10.00 -7.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.586 50.00 0.500 6.000 34.000 0.100 85.586
-9.00 -7.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.010 50.00 0.500 6.000 34.000 0.100 85.010
-8.00 -7.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.718 50.00 0.500 6.000 34.000 0.100 85.718
-7.00 -7.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.286 50.00 0.500 6.000 34.000 0.100 86.286
-6.00 -7.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.996 50.00 0.500 6.000 34.000 0.100 85.996
-5.00 -7.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.240 50.00 0.500 6.000 34.000 0.100 85.240
-4.00 -7.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.625 50.00 0.500 6.000 34.000 0.100 86.625
-3.00 -7.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.665 50.00 0.500 6.000 34.000 0.100 86.665
-2.00 -7.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.189 50.00 0.500 6.000 34.000 0.100 86.189
-1.00 -7.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.025 50.00 0.500 6.000 34.000 0.100 86.025
0.00 -7.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.168 50.00 0.500 6.000 34.000 0.100 85.168
1.00 -7.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.648 50.00 0.500 6.000 34.000 0.100 85.648
2.00 -7.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.954 50.00 0.500 6.000 34.000 0.100 85.954
3.00 -7.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.455 50.00 0.500 6.000 34.000 0.100 85.455
-10.00 -6.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.376 50.00 0.500 6.000 34.000 0.100 85.376
-9.00 -6.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.009 50.00 0.500 6.000 34.000 0.100 85.009
-8.00 -6.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.621 50.00 0.500 6.000 34.000 0.100 85.621
-7.00 -6.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.212 50.00 0.500 6.000 34.000 0.100 86.212
-6.00 -6.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.187 50.00 0.500 6.000 34.000 0.100 86.187
-5.00 -6.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.368 50.00 0.500 6.000 34.000 0.100 85.368
-4.00 -6.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.612 50.00 0.500 6.000 34.000 0.100 86.612
-3.00 -6.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 87.424 50.00 0.500 6.000 34.000 0.100 87.424
-2.00 -6.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.980 50.00 0.500 6.000 34.000 0.100 86.980
-1.00 -6.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.739 50.00 0.500 6.000 34.000 0.100 86.739
0.00 -6.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.798 50.00 0.500 6.000 34.000 0.100 85.798
1.00 -6.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.728 50.00 0.500 6.000 34.000 0.100 85.728
2.00 -6.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.081 50.00 0.500 6.000 34.000 0.100 86.081
3.00 -6.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.481 50.00 0.500 6.000 34.000 0.100 85.481
-10.00 -5.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.994 50.00 0.500 6.000 34.000 0.100 85.994
-9.00 -5.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.514 50.00 0.500 6.000 34.000 0.100 86.514
-8.00 -5.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 87.252 50.00 0.500 6.000 34.000 0.100 87.252
-7.00 -5.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.965 50.00 0.500 6.000 34.000 0.100 86.965
-6.00 -5.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.209 50.00 0.500 6.000 34.000 0.100 86.209
-5.00 -5.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.553 50.00 0.500 6.000 34.000 0.100 85.553
-4.00 -5.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.666 50.00 0.500 6.000 34.000 0.100 86.666
-3.00 -5.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.195 50.00 0.500 6.000 34.000 0.100 86.195
-2.00 -5.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.380 50.00 0.500 6.000 34.000 0.100 86.380
-1.00 -5.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.964 50.00 0.500 6.000 34.000 0.100 86.964
0.00 -5.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.702 50.00 0.500 6.000 34.000 0.100 86.702
1.00 -5.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 84.968 50.00 0.500 6.000 34.000 0.100 84.968
2.00 -5.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.411 50.00 0.500 6.000 34.000 0.100 85.411
3.00 -5.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.840 50.00 0.500 6.000 34.000 0.100 85.840
-10.00 -4.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.388 50.00 0.500 6.000 34.000 0.100 85.388
-9.00 -4.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.792 50.00 0.500 6.000 34.000 0.100 85.792
-8.00 -4.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.889 50.00 0.500 6.000 34.000 0.100 86.889
-7.00 -4.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.618 50.00 0.500 6.000 34.000 0.100 85.618
-6.00 -4.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.560 50.00 0.500 6.000 34.000 0.100 85.560
-5.00 -4.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.168 50.00 0.500 6.000 34.000 0.100 86.168
-4.00 -4.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.782 50.00 0.500 6.000 34.000 0.100 85.782
-3.00 -4.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.482 50.00 0.500 6.000 34.000 0.100 85.482
-2.00 -4.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.610 50.00 0.500 6.000 34.000 0.100 85.610
-1.00 -4.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.695 50.00 0.500 6.000 34.000 0.100 85.695
0.00 -4.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.275 50.00 0.500 6.000 34.000 0.100 86.275
1.00 -4.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.782 50.00 0.500 6.000 34.000 0.100 85.782
