      Lon      Lat      RHP     Tbuf  Tinterm  Tbottom Csubmoho  Al_0  Fe_0  Mg_0  Ca_0      MLD  Al_1  Fe_1  Mg_1  Ca_1      LAB  Al_2  Fe_2  Mg_2  Ca_2
      deg      deg    nW/m3     degC     degC     degC        1    wt%    wt%    wt%    wt%    wt%       km    wt%    wt%    wt%    wt%    wt%       km    wt%    wt%    wt%    wt%    wt%
-69 71	20.00	1311.4	1326.55	1494.15	0.9708	2.75	7.35	41.64	2.18	103.85	2.27	8.45	41.82	1.9	212.77	4.09	7.66	37.67	3.8
-68 71	20.00	1312.93	1283.47	1420.39	0.9876	1.03	7.92	44.71	1.19	99.51	2.17	8.05	42.15	1.9	205.27	3.96	7.52	37.9	3.64
-67 71	20.00	1235.46	1228.05	1454.43	0.9819	2.72	8.75	39.94	2.64	105.43	2.39	7.82	41.42	2.02	176.4	3.69	7.26	37.36	2.67
-66 71	20.00	1297.69	1234.62	1419.55	0.9728	1.98	8.62	42.23	1.76	103.89	2.41	8.5	42.86	1.99	177.56	3.8	7.55	39.37	3.18
-65 71	20.00	1455.81	1248.7	1523.7	0.9743	3.05	8.55	39.22	2.81	100.96	2.54	7.95	42.16	1.9	182.91	3.63	7.15	40.06	2.55
-64 71	20.00	1274.73	1460.19	1386.73	0.9825	2.54	8.65	39.39	2.48	112.97	2.27	8.02	43.39	1.73	182.91	3.99	7.17	40.12	2.98
-63 71	20.00	1283.87	1571.07	1315.94	0.9859	2.68	8.74	40.07	2.46	115.59	2.15	8.36	42.62	2.19	182.04	3.71	7.23	39.99	2.63
-62 71	20.00	1290.62	1393.77	1368.44	0.9755	2.08	8.52	40.6	2.13	109.3	2.13	8.1	43	1.99	195.63	3.73	7.27	38	3.32
-61 71	20.00	1364.84	1248.47	1445.97	0.9849	2.85	8.36	39.68	2.39	114.43	2.36	8.09	41.31	1.7	195.18	3.63	7.21	40.49	3.01
-60 71	20.00	1315.14	1231.93	1347.64	0.9709	2.19	8.41	41.37	1.73	103.14	2.45	8.05	41.08	2.2	176.53	3.64	7.2	38.83	2.56
-59 71	20.00	1364.19	1251.6	1366.02	0.9674	2	8.18	41.4	1.83	115.15	2.4	7.66	41.5	1.97	175.64	3.68	7.36	39.33	3.07
-99 70.5	20.00	1414.26	1443.57	1405.62	0.9786	1.91	7.2	42.56	1.74	102.88	2.14	7.46	42.3	2.13	211.72	4.38	7.93	37.47	3.86
-98 70.5	20.00	1400.16	1417.11	1537.06	0.99	1.72	7.51	43.7	1.38	102.33	1.9	7.06	43.85	1.62	209.37	4.25	8.49	37.81	3.36
-97 70.5	20.00	1327.99	1373.15	1461.35	0.9786	1.28	7.72	44.96	0.92	103.47	2.33	7.67	41.4	1.7	204.48	4.06	8.23	38.28	3.81
-96 70.5	20.00	1345.86	1461.07	1443.65	0.9757	0.84	7.93	46.2	0.85	107.15	2.28	7.1	41.49	1.69	206.15	4.34	8.12	38.07	3.58
-95 70.5	20.00	1363.24	1333.84	1506.27	0.9711	0.86	7.11	45.9	0.94	105.48	2.22	8.12	43.16	1.86	204.17	3.93	7.94	38.47	3.34
-94 70.5	20.00	1363.46	1318.5	1517.33	0.9794	2.55	7.22	42.41	1.88	103.99	1.9	7.12	43.47	1.63	212.04	4.42	7.57	37.49	4.11
-93 70.5	20.00	1381.27	1311.54	1422.62	0.9897	2.89	7.26	40.85	2.48	112.73	2.11	8.15	42.08	2.21	217.2	4.19	7.42	37.45	3.85
-92 70.5	20.00	1300.7	1418.8	1507.32	0.9843	0.83	7.23	45.28	0.84	106.72	2.35	7.68	42.33	1.99	211.24	4.46	8.18	38.11	3.91
-91 70.5	20.00	1290.09	1406.97	1582.62	0.9711	1.21	7.2	44.73	0.65	99.73	2.6	8.44	41.67	2.42	220.3	4.38	8.02	36.49	3.51
-90 70.5	20.00	1240.79	1349.83	1491.83	0.97	1.74	7.73	43.19	1.43	99.64	2.56	8.14	41.81	1.89	225.13	4.3	7.53	38.43	3.81
-89 70.5	20.00	1320.12	1333.7	1481.67	0.9769	1.91	7.6	43.36	1.59	107.2	2.39	8.4	42.59	1.73	229.23	4.06	7.76	38	3.69
-88 70.5	20.00	1426.4	1467.21	1568.19	0.9696	1.98	6.97	42.68	1.5	97.73	2.35	7.76	41.45	2.15	263.45	4.01	8.34	38.71	3.67
-87 70.5	20.00	1491.47	1511.64	1579.3	0.9753	1.32	6.7	45.34	0.93	105.24	2.25	7.57	41.39	1.93	290.12	3.72	8.3	37.84	2.95
-86 70.5	20.00	1353.05	1451.67	1520.69	0.9815	1.13	6.69	45.6	0.51	99.55	2.75	7.43	40.83	2.79	259.91	4.1	7.83	39.15	3.54
-85 70.5	20.00	1358.88	1356.04	1524.71	0.9848	2.09	7.39	42.4	1.72	111.83	2.49	7.84	41.17	1.7	214.6	4.37	7.77	38.75	3.71
-84 70.5	20.00	1411.78	1370.49	1430.88	0.9706	0.78	7.71	45.49	0.45	102.39	2.3	7.44	42.53	2.15	216.46	4.13	8.61	37.92	3.53
-83 70.5	20.00	1347.45	1373.28	1521.18	0.9679	2.68	7.22	41.24	2.16	104.92	2.49	8.28	41.98	2.09	222.67	3.87	7.81	38.22	3.49
-82 70.5	20.00	1383.85	1349.03	1486.28	0.9836	2.83	7.35	41.56	2.18	109.53	2.7	7.36	40.68	2.28	220.53	3.81	8.16	38.43	3.53
-81 70.5	20.00	1335.54	1369.87	1425.58	0.988	1.06	7.36	45.42	0.65	103.64	2.53	8.12	41.18	2.12	222.14	3.94	8.27	39.62	3.66
-80 70.5	20.00	1332.71	1351.65	1413.98	0.9659	1.77	6.89	44.4	1.17	103.36	2.74	7.97	40.74	2.25	219.42	3.88	8.11	38.02	3.26
-79 70.5	20.00	1276.09	1363.26	1457.82	0.9737	2.2	7.18	41.66	1.44	102.96	2.11	7.68	43.01	1.95	224.4	4.2	8.4	38.07	3.75
-78 70.5	20.00	1311.7	1324.19	1514.71	0.9879	1.9	7.53	43.72	1.79	105.96	2.17	8.18	42.06	1.66	227.14	4.07	7.9	36.7	3.47
-77 70.5	20.00	1349.8	1356.01	1480.92	0.9663	2	7.11	42.07	1.56	110.99	2.39	8.15	42.14	2.05	235.6	3.78	8.31	38.32	3.05
-76 70.5	20.00	1350.6	1380.65	1464.11	0.9875	0.89	7.36	45.58	0.85	106.34	2.61	8.53	41.1	2.18	231.29	3.84	7.66	39.15	2.92
-75 70.5	20.00	1348.02	1337.21	1489.64	0.963	1.91	8.15	43.86	1.48	104.51	2.2	8.29	42.37	1.7	242.97	4.09	7.34	37.38	3.43
-74 70.5	20.00	1313.9	1423.34	1448.77	0.9698	1.66	7.68	43.49	1.16	108.06	2.45	7.96	42.09	2.18	228.38	3.84	7.97	38.5	3.14
-73 70.5	20.00	1262.3	1304.42	1486.26	0.9822	0.94	6.68	45.8	0.42	115.4	2.47	7.59	40.58	2.08	215.71	4.43	8.3	37.5	4.28
-72 70.5	20.00	1316.03	1345.88	1483.05	0.9733	1.01	7.34	45.86	0.69	107.33	2.08	7.57	42.19	1.66	208.69	4.26	8.26	39.26	4.09
-71 70.5	20.00	1377.58	1347.38	1431.23	0.9663	1.16	7.18	45.22	1.08	107.04	2.03	7.65	42.02	1.9	212.12	3.87	8.63	38.05	3.14
-70 70.5	20.00	1280.89	1383.7	1471.86	0.9732	1.22	7.57	44.28	0.74	104.05	2.2	8.2	42.9	1.68	205.03	4.07	7.87	36.94	3.38
-69 70.5	20.00	1305.2	1354.65	1435.67	0.9666	1.1	7.26	45.21	0.6	102.86	2.5	8.24	41.83	2.24	213.32	4.48	7.52	37.35	3.8
-68 70.5	20.00	1332.13	1275.83	1404.02	0.9662	1.35	7.75	44.66	1.36	106.04	2.25	8.22	41.95	2.13	214.48	4.11	8.27	38.3	3.47
-67 70.5	20.00	1329.02	1269.98	1401.1	0.9879	2.38	8.64	41.59	2.02	108.17	1.89	8.23	43.54	1.4	207.99	3.75	7.57	38.55	3.04
-66 70.5	20.00	1334.63	1291.15	1527.87	0.9825	3.23	8.27	40.69	2.59	113.6	2.37	8.53	42.56	2.01	204.6	3.67	7.3	38.61	2.94
-65 70.5	20.00	1353.03	1278.95	1393.07	0.9822	3.09	8.6	40.07	2.72	112.87	2.56	7.79	40.09	2.19	206.32	3.63	7.36	39.31	2.98
-64 70.5	20.00	1289.77	1336.99	1367.82	0.9858	2.34	8.81	40.92	2.28	115.79	2.34	7.36	42.71	1.96	209.83	3.66	7.32	39.67	3.48
-63 70.5	20.00	1294.22	1452.78	1345.37	0.9943	2.99	8.73	40.77	2.46	104.18	2.24	8.35	41.69	2.13	204.06	3.72	7.29	37.48	2.79
-62 70.5	20.00	1259.85	1355.35	1339.38	0.9665	3.22	8.51	40.04	2.57	106.65	2.02	8.7	42.49	2.01	197.27	3.56	7.19	38.77	3.01
-61 70.5	20.00	1291.25	1268.57	1410.68	0.9848	3.01	8.41	40.25	2.31	116.99	2.18	8.16	42.08	1.94	192.86	3.66	7.2	40.31	2.84
-60 70.5	20.00	1344.99	1295.67	1396.16	0.9876	2.64	8.36	40.56	2	103.73	1.99	8	42.54	1.9	187.29	3.67	7.37	39.02	3.27
-59 70.5	20.00	1296.99	1232.25	1306.2	0.9914	2.68	8.27	40.72	2.32	108.26	2.17	8.19	42.19	1.87	171.92	3.69	7.34	38.76	3.15
-99 70	20.00	1403.29	1423.88	1489.17	0.9683	1.98	7.02	42.78	1.61	103.94	1.83	8.08	43.96	1.51	203.2	4.41	8.44	37.72	3.68
-98 70	20.00	1372.14	1438.19	1526.19	0.9755	0.72	6.89	45.69	0.74	108.23	2.13	8.03	41.49	2.02	214.25	4.22	8.47	37.97	3.78
