      Lon      Lat     thick1        Vs1        Vp1   SedDens1      Dens1      thick2        Vs2        Vp2      Dens2      thick3        Vs3        Vp3      Dens3     thick4        Vs4        Vp4      Dens4 
      deg      deg          m        m/s        m/s      kg/m3      kg/m3          m        m/s        m/s      kg/m3          m        m/s        m/s      kg/m3          m        m/s        m/s      kg/m3 
128 -16 103.005	443.43	691.29	232.29	119.91	1536.27	86.565	182.04	40.905	2947.39	137.745	241.335	61.05	5464.12	174.495	273.735	90.18
128.5 -16 105.78	692.865	1215.09	125.43	217.515	1613.94	93.345	191.205	43.485	3435.57	124.32	213.9	55.17	6215.7	188.61	293.505	98.565
129 -16 296.58	610.17	850.86	301.53	156.945	1638.2	129.045	222.255	51.975	3628.05	127.005	217.53	54.84	6437.67	184.92	274.065	93.54
129.5 -16 270.375	514.41	473.565	185.46	91.755	1753.93	98.88	172.32	41.055	3360.78	117.75	183.12	47.82	5645.43	174.825	252.345	88.665
130 -16 567.195	292.62	243.585	94.47	48.915	1716.95	137.97	224.295	52.365	3181.93	126.87	211.875	54.81	4906.53	191.655	299.055	99.57
130.5 -16 683.955	270.705	216.12	82.62	43.83	1612.7	129.735	199.47	47.025	3141.52	121.86	181.515	47.715	7302.85	180.51	267.555	91.995
131 -16 686.415	266.91	177.45	95.265	36.405	1722.46	134.79	203.97	48.36	2948.09	124.08	183.015	48.99	5795.4	169.8	238.26	83.985
131.5 -16 463.95	333.21	150.09	86.385	30.93	1929.55	112.44	156.9	37.71	3679.76	118.275	179.715	47.85	7266.66	137.175	149.52	56.475
132 -16 512.67	349.275	231.42	102.465	46.95	1885.07	118.47	160.785	38.7	3773.45	125.73	193.41	51.105	6734.84	197.205	289.215	99.69
132.5 -16 728.94	355.305	171.3	81.57	35.25	2033.31	107.415	137.7	33.57	3152.11	130.74	200.22	53.25	6638.94	148.41	187.815	67.86
133 -16 457.98	379.455	235.815	94.05	47.7	1991.79	116.85	157.365	37.995	3789.48	116.76	176.1	47.205	6733.09	179.925	266.01	92.01
133.5 -16 456.825	302.355	177.69	103.155	36.465	2460.38	105.54	158.415	38.31	3092.61	122.91	172.815	46.845	6543.57	178.41	264.18	91.845
134 -16 528.735	327.27	164.745	102.3	33.87	1830.95	105.33	139.23	34.05	3874.36	97.62	98.055	27.63	4888.44	164.025	220.62	78.885
134.5 -16 338.43	358.485	170.925	92.7	35.07	1426.62	101.625	99.45	24.735	4324.27	91.2	65.58	18.81	7590.73	122.97	133.83	51.18
135 -16 284.37	254.49	142.815	62.295	29.595	1096.65	85.065	120.33	29.7	4458.23	78.15	74.625	21.3	6091.44	106.935	65.1	26.625
