      Lon      Lat      RHP     Tbuf  Tinterm  Tbottom Csubmoho  Al_0  Fe_0  Mg_0  Ca_0      LAB  Al_1  Fe_1  Mg_1  Ca_1
      deg      deg    nW/m3     degC     degC     degC        1    wt%    wt%    wt%    wt%    wt%       km    wt%    wt%    wt%    wt%    wt%
131 -16	0.20	1302.32	1431.34	1481.77	0.9655	2.69	8.3	41.93	2.3	197.51	4.1	8.37	37.35	3.36
131.5 -16	0.20	1300.99	1430.48	1480.21	0.9701	2.73	8.31	41.95	2.32	198.83	4.09	8.37	37.34	3.35
132 -16	0.20	1300.19	1428.98	1479.09	0.9809	2.71	8.33	41.97	2.32	199.75	4.09	8.33	37.34	3.33
132.5 -16	0.20	1299.78	1428.52	1478.04	0.9618	2.74	8.4	41.95	2.33	200.73	4.1	8.36	37.32	3.32
133 -16	0.20	1298.99	1429	1477.33	0.9818	2.75	8.45	41.96	2.34	201.32	4.1	8.37	37.3	3.32
133.5 -16	0.20	1299.63	1429.13	1476.72	0.9664	2.78	8.53	42	2.42	201.9	4.12	8.39	37.28	3.36
134 -16	0.20	1300.38	1430.17	1476.83	0.9714	2.8	8.58	42.01	2.46	201.86	4.12	8.36	37.26	3.38
134.5 -16	0.20	1300.59	1430.99	1477.39	0.9889	2.84	8.68	41.99	2.48	202.27	4.19	8.39	37.17	3.36
135 -16	0.20	1299.51	1429.38	1478.41	0.9787	2.85	8.74	42.04	2.46	201.06	4.19	8.33	37.19	3.42
135.5 -16	0.20	1302.02	1429.16	1477.98	0.9718	2.78	8.66	42.04	2.48	197.59	4.14	8.19	37.29	3.34
136 -16	0.20	1301.05	1427.85	1478.24	0.9761	2.77	8.63	42.04	2.42	193.48	4.08	8.08	37.33	3.35
136.5 -16	0.20	1300.77	1426.08	1477.95	0.9873	2.76	8.59	42.03	2.39	188.51	4.07	8.08	37.32	3.34
137 -16	0.20	1300.46	1424.23	1477.15	0.965	2.72	8.58	41.99	2.35	183.04	4.11	8.11	37.37	3.35
137.5 -16	0.20	1299.78	1423.3	1476.53	0.9657	2.75	8.61	42.01	2.37	176.76	4.17	8.22	37.36	3.37
138 -16	0.20	1300.5	1424.39	1476.65	0.9707	2.76	8.62	42.05	2.4	172.19	4.17	8.21	37.43	3.38
