 layer thickness [km] | depth (dummy) | rho [g/cm3] | Vp [km/s] |  Vs [km/s] | Qs-1
50.000   610.98  3.92100 10.03200  5.50500 .58541E-02
50.000   660.98  3.92000 10.20000  5.61000 .57827E-02
 1.000   661.98  4.23900 10.79100  5.96100 .18200E-02
49.000   710.98  4.29900 10.92200  6.09000 .18400E-02
50.000   760.98  4.35700 11.05500  6.21000 .18600E-02
49.500   810.48  4.41200 11.13600  6.24200 .18800E-02
49.500   859.98  4.46500 11.22300  6.28000 .19000E-02
49.500   909.48  4.51600 11.30700  6.31600 .19200E-02
49.500   958.98  4.56500 11.39000  6.35200 .19400E-02
49.500  1008.48  4.59300 11.47000  6.38600 .19600E-02
49.500  1057.98  4.62000 11.54900  6.41800 .19800E-02
49.500  1107.48  4.64700 11.62700  6.45100 .20000E-02
49.500  1156.98  4.67400 11.70200  6.48200 .20200E-02
49.500  1206.48  4.70000 11.77700  6.51300 .20400E-02
49.500  1255.98  4.72700 11.84900  6.54300 .20600E-02
49.500  1305.48  4.75300 11.92100  6.57300 .20800E-02
49.500  1354.98  4.77900 11.98900  6.60100 .21000E-02
49.500  1404.48  4.80500 12.05700  6.62900 .21200E-02
49.500  1453.98  4.83100 12.12500  6.65500 .21400E-02
49.500  1503.48  4.85600 12.19100  6.68100 .21600E-02
49.500  1552.98  4.88200 12.25600  6.70700 .21800E-02
49.500  1602.48  4.90700 12.31800  6.73200 .22000E-02
49.500  1651.98  4.93200 12.38100  6.75800 .22200E-02
49.500  1701.48  4.95700 12.44300  6.78200 .22400E-02
49.500  1750.98  4.98200 12.50300  6.80600 .22600E-02
49.500  1800.48  5.00600 12.56400  6.82900 .22900E-02
49.500  1849.98  5.03100 12.62300  6.85200 .23200E-02
49.500  1899.48  5.05500 12.68100  6.87400 .23500E-02
49.500  1948.98  5.07900 12.73800  6.89700 .23900E-02
49.500  1998.48  5.10300 12.79600  6.91900 .24100E-02
49.500  2047.98  5.12600 12.85200  6.94200 .24300E-02
49.500  2097.48  5.15000 12.90900  6.96300 .24600E-02
49.500  2146.98  5.17300 12.96600  6.98500 .24800E-02
49.500  2196.48  5.19600 13.02300  7.00700 .25100E-02
49.500  2245.98  5.21900 13.07900  7.02900 .25500E-02
49.500  2295.48  5.24200 13.13400  7.05000 .25800E-02
49.500  2344.98  5.26500 13.19000  7.07200 .26100E-02
49.500  2394.48  5.28700 13.24600  7.09300 .26400E-02
49.500  2443.98  5.30900 13.30200  7.11400 .26600E-02
49.500  2493.48  5.33100 13.35800  7.13700 .26900E-02
49.500  2542.98  5.35300 13.41600  7.15800 .27200E-02
49.500  2592.48  5.37500 13.47400  7.18000 .27500E-02
48.500  2640.98  5.39600 13.53100  7.20300 .27800E-02
50.000  2690.98  5.41800 13.59000  7.22500 .28200E-02
50.000  2740.98  5.43900 13.65000  7.24900 .28500E-02
 1.000  2741.98  5.69300 13.65000  7.24900 .36800E-02
49.700  2791.68  5.72000 13.65300  7.25900 .36500E-02
49.700  2841.38  5.74600 13.65700  7.27000 .36500E-02
51.200  2892.58  5.77200 13.66000  7.28200 .36500E-02
