  8.00000000       3354.84741       2447.67725    
  10.0000000       3545.59155       3039.03857    
  12.0000000       3636.93726       3240.70215    
  14.0000000       3703.50903       3318.16113    
  16.0000000       3762.41016       3354.65503    
  18.0000000       3818.53638       3377.19092    
  20.0000000       3873.32153       3396.58643    
  22.0000000       3926.96582       3417.87671    
  24.0000000       3979.18579       3443.50024    
  28.0000000       4077.51538       3510.85327    
  32.0000000       4164.94287       3597.46533    
  36.0000000       4239.89307       3695.46899    
  40.0000000       4303.07178       3795.77222    
  50.0000000       4415.99609       4015.84229    
  60.0000000       4486.53760       4164.54980    
  70.0000000       4535.28027       4253.80811    
  80.0000000       4573.25830       4306.13086    
  100.000000       4635.67432       4355.45703    
  125.000000       4705.83398       4374.24316    
  150.000000       4775.34863       4376.45752    
  175.000000       4846.69727       4373.37207    
  200.000000       4920.50439       4369.65088  
