  8.00000000       3127.41162       2842.24072    
  10.0000000       3193.98413       2946.19287    
  12.0000000       3245.87280       2966.70654    
  14.0000000       3300.05908       2938.58936    
  16.0000000       3363.35181       2890.80420    
  18.0000000       3437.26636       2848.43140    
  20.0000000       3519.50879       2833.01709    
  22.0000000       3604.90088       2858.80469    
  24.0000000       3687.12769       2927.82520    
  28.0000000       3823.98633       3147.98755    
  32.0000000       3917.53589       3379.51904    
  36.0000000       3978.24023       3564.54688    
  40.0000000       4019.39136       3700.16821    
  50.0000000       4074.21948       3892.00073    
  60.0000000       4099.35352       3973.74658    
  70.0000000       4114.17432       4005.03198    
  80.0000000       4125.89551       4009.30469    
  100.000000       4151.36426       3973.04102    
  125.000000       4198.55273       3882.79443    
  150.000000       4269.02197       3772.13184    
  175.000000       4364.58643       3661.93823    
  200.000000       4484.61475       3568.16431    
